[{I} |08-19 15:55:54.831 1787126154] ---->>[pvr_event_notify] SKYFM_ADD_DEVICE, dev_name:TF卡 disk_status:0

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.348 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.348 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.348 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.348 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.348 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.348 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.348 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.349 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.349 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.382 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.382 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.382 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.383 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.383 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.383 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.383 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.383 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.383 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.383 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.384 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.384 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.384 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.384 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.384 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.384 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.384 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.385 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.385 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.386 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.386 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.386 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.386 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.386 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.386 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.386 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.387 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.387 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.388 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.388 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.388 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.388 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.388 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.388 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.388 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.389 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.395 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.395 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.395 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.396 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.396 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.396 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.396 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.396 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.396 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.396 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.397 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.397 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.397 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.397 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.397 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.397 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.397 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.398 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.398 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.399 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.399 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.401 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.401 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.401 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.401 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.401 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.401 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.402 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.402 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.403 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.403 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.403 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.403 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.403 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.403 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.403 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.404 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.404 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.404 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.404 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.404 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.404 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.404 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.405 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.405 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{D} |08-19 15:57:51.405 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.405 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.405 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{D} |08-19 15:57:51.405 1787126271] mk:[RtspSession.cpp:1373][event poller 4:operator()] frame do not sync!!!

[{E} |08-19 15:57:51.405 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

[{E} |08-19 15:57:51.406 1787126271] mk:[Socket.cpp:906][event poller 4:flushData] flushData

